"","word1","word2","freq"
"1","i","think",234
"2","i","love",168
"3","i","dont",163
"4","i","can",146
"5","i","know",144
"6","i","just",136
"7","i","will",117
"8","new","york",101
"9","i","want",92
"10","last","year",92
"11","i","got",89
"12","right","now",78
"13","i","really",76
"14","i","get",69
"15","i","like",69
"16","i","thought",68
"17","i","cant",65
"18","high","school",64
"19","i","hope",63
"20","i","need",63
"21","years","ago",63
"22","i","didnt",62
"23","i","don’t",61
"24","dont","know",58
"25","but","i",57
"26","know","i",57
"27","last","night",57
"28","so","i",56
"29","i","feel",55
"30","feel","like",54
"31","when","i",54
"32","can","see",53
"33","you","can",52
"34","and","i",51
"35","even","though",50
"36","first","time",50
"37","like","i",49
"38","make","sure",49
"39","time","i",49
"40","i","also",46
"41","can","get",45
"42","i","made",45
"43","last","week",45
"44","said","i",45
"45","i","found",44
"46","i","guess",44
"47","i","used",42
"48","st","louis",40
"49","cant","wait",39
"50","dont","think",39
"51","every","day",39
"52","i","go",39
"53","i","never",39
"54","now","i",38
"55","he","said",37
"56","i","wanted",37
"57","two","years",37
"58","united","states",37
"59","i","mean",36
"60","i","still",36
"61","if","i",36
"62","im","going",36
"63","things","i",35
"64","i","said",34
"65","i","say",34
"66","i","knew",33
"67","i","wish",33
"68","im","sure",33
"69","of","course",33
"70","day","i",32
"71","i","see",32
"72","just","like",32
"73","los","angeles",32
"74","new","jersey",32
"75","one","day",32
"76","you","know",32
"77","dont","want",31
"78","i","felt",31
"79","think","i",31
"80","i","always",30
"81","i","believe",30
"82","much","i",30
"83","i","find",29
"84","next","week",29
"85","since","i",29
"86","the","first",29
"87","i","might",28
"88","next","year",28
"89","thing","i",28
"90","happy","birthday",27
"91","i","decided",27
"92","i","havent",27
"93","i","saw",27
"94","i","remember",26
"95","i","went",26
"96","many","people",26
"97","social","media",26
"98","sure","i",26
"99","though","i",26
"100","u","u",26
"101","we","need",26
"102","what","i",26
"103","ago","i",25
"104","i","going",25
"105","i","hate",25
"106","san","francisco",25
"107","she","said",25
"108","health","care",24
"109","i","started",24
"110","it","also",24
"111","thought","i",24
"112","will","come",24
"113","will","make",24
"114","will","take",24
"115","wish","i",24
"116","he","also",23
"117","i","can’t",23
"118","i","told",23
"119","in","addition",23
"120","last","month",23
"121","look","like",23
"122","now","im",23
"123","pretty","much",23
"124","the","new",23
"125","can","help",22
"126","can","i",22
"127","i","i",22
"128","i","put",22
"129","i","took",22
"130","little","bit",22
"131","will","also",22
"132","will","get",22
"133","go","back",21
"134","good","morning",21
"135","i","tried",21
"136","long","time",21
"137","looks","like",21
"138","one","two",21
"139","th","century",21
"140","they","also",21
"141","this","one",21
"142","weeks","ago",21
"143","well","i",21
"144","every","time",20
"145","good","luck",20
"146","i","didn’t",20
"147","i","look",20
"148","i","miss",20
"149","i","wonder",20
"150","in","fact",20
"151","looking","forward",20
"152","really","good",20
"153","san","diego",20
"154","yes","i",20
"155","i","couldnt",19
"156","i","hear",19
"157","i","wasnt",19
"158","just","got",19
"159","new","year",19
"160","one","thing",19
"161","real","estate",19
"162","say","i",19
"163","three","years",19
"164","way","i",19
"165","year","i",19
"166","year","old",19
"167","years","old",19
"168","can","find",18
"169","can","make",18
"170","for","example",18
"171","get","back",18
"172","i","take",18
"173","ice","cream",18
"174","just","one",18
"175","let","know",18
"176","next","time",18
"177","officials","said",18
"178","th","street",18
"179","the","last",18
"180","vice","president",18
"181","back","i",17
"182","can","use",17
"183","don’t","know",17
"184","i","actually",17
"185","i","asked",17
"186","i","heard",17
"187","i","read",17
"188","i’m","sure",17
"189","it","just",17
"190","kansas","city",17
"191","last","time",17
"192","parking","lot",17
"193","people","i",17
"194","people","will",17
"195","point","i",17
"196","police","said",17
"197","said","we",17
"198","see","i",17
"199","supreme","court",17
"200","today","i",17
"201","two","weeks",17
"202","we","will",17
"203","weve","got",17
"204","will","never",17
"205","work","i",17
"206","all","i",16
"207","can","also",16
"208","dont","forget",16
"209","feels","like",16
"210","four","years",16
"211","however","i",16
"212","i","ever",16
"213","i","figured",16
"214","i","loved",16
"215","i","make",16
"216","i","may",16
"217","i","use",16
"218","i","wrote",16
"219","im","just",16
"220","it","will",16
"221","life","i",16
"222","look","forward",16
"223","many","times",16
"224","mothers","day",16
"225","one","favorite",16
"226","one","i",16
"227","president","barack",16
"228","said","the",16
"229","school","district",16
"230","the","best",16
"231","things","like",16
"232","told","i",16
"233","we","can",16
"234","we","dont",16
"235","will","continue",16
"236","will","go",16
"237","youve","got",16
"238","although","i",15
"239","around","world",15
"240","as","i",15
"241","couple","years",15
"242","family","friends",15
"243","go","home",15
"244","going","get",15
"245","good","thing",15
"246","i","first",15
"247","i","now",15
"248","im","gonna",15
"249","im","still",15
"250","lets","go",15
"251","love","i",15
"252","one","time",15
"253","seems","like",15
"254","something","i",15
"255","wait","see",15
"256","week","i",15
"257","white","house",15
"258","–","i",14
"259","best","friend",14
"260","can","give",14
"261","can","go",14
"262","dont","see",14
"263","every","year",14
"264","i","bought",14
"265","i","gave",14
"266","i","keep",14
"267","i","spent",14
"268","i","wont",14
"269","ive","got",14
"270","last","season",14
"271","last","years",14
"272","let","us",14
"273","maybe","i",14
"274","much","better",14
"275","no","one",14
"276","oh","i",14
"277","one","year",14
"278","school","board",14
"279","several","years",14
"280","super","bowl",14
